model,seed,held_out,accuracy,macro_f1,f1_khlui,f1_khong,f1_so,f1_ranat,n_train,n_test,epochs_used
9_cnn,2024,โหมโรงมหาฤกษ์,0.5735294117647058,0.5671274961597542,0.6666666666666666,0.4666666666666667,0.6190476190476191,0.5161290322580645,751,68,13
10_bilstm,42,กล่อมนารี,0.5428571428571428,0.5603086504872219,0.46938775510204084,0.6333333333333333,0.625,0.5135135135135135,679,140,12
10_bilstm,42,จีนขิมเล็ก,0.6601941747572816,0.6559523809523811,0.5079365079365079,0.7111111111111111,0.9285714285714286,0.47619047619047616,716,103,15
10_bilstm,42,ตับต้นเพลงฉิ่ง,0.7443181818181818,0.7406081135534657,0.5822784810126582,0.9555555555555556,0.7441860465116279,0.6804123711340206,643,176,22
10_bilstm,42,สาธุการ,0.7870370370370371,0.7691540957217298,0.5060240963855421,0.8925619834710744,0.875,0.803030303030303,603,216,13
10_bilstm,42,แขกมอญบางช้าง,0.7758620689655172,0.7715121136173768,0.6785714285714286,0.75,0.9206349206349206,0.7368421052631579,703,116,24
10_bilstm,42,โหมโรงมหาฤกษ์,0.6764705882352942,0.6753968253968254,0.7333333333333333,0.6111111111111112,0.7142857142857143,0.6428571428571429,751,68,13
10_bilstm,123,กล่อมนารี,0.6,0.5981218574386276,0.5714285714285714,0.5217391304347826,0.6666666666666666,0.6326530612244898,679,140,14
10_bilstm,123,จีนขิมเล็ก,0.7281553398058253,0.725219298245614,0.6842105263157895,0.6666666666666666,0.8,0.75,716,103,17
10_bilstm,123,ตับต้นเพลงฉิ่ง,0.7613636363636364,0.7539120462131994,0.6052631578947368,0.967032967032967,0.7916666666666666,0.651685393258427,643,176,22
10_bilstm,123,สาธุการ,0.7824074074074074,0.7363854370085822,0.36363636363636365,0.8852459016393442,0.9310344827586207,0.765625,603,216,12
10_bilstm,123,แขกมอญบางช้าง,0.7155172413793104,0.7135839991734398,0.5882352941176471,0.819672131147541,0.8214285714285714,0.625,703,116,18
10_bilstm,123,โหมโรงมหาฤกษ์,0.6176470588235294,0.6069730946250076,0.6976744186046512,0.5405405405405406,0.7096774193548387,0.48,751,68,12
10_bilstm,2024,กล่อมนารี,0.5428571428571428,0.5572461520480454,0.4782608695652174,0.6129032258064516,0.625,0.5128205128205128,679,140,12
10_bilstm,2024,จีนขิมเล็ก,0.6893203883495146,0.6893093429481569,0.5454545454545454,0.6122448979591837,0.9056603773584906,0.6938775510204082,716,103,15
10_bilstm,2024,ตับต้นเพลงฉิ่ง,0.7045454545454546,0.6961909246577191,0.48484848484848486,0.9213483146067416,0.7469879518072289,0.631578947368421,643,176,18
