song_file,instrument,piece,start_bar,end_bar,sustain_ratio,low_oct_ratio,mid_oct_ratio,high_oct_ratio,lukabad_density,paren_ratio,transition_entropy
จีนขิมเล็ก เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,จีนขิมเล็ก,129,144,0.1875,0.0,0.5192307692307693,0.4807692307692308,0.0,0.0,4.987366781014197
จีนขิมเล็ก เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,จีนขิมเล็ก,137,152,0.1875,0.0,0.5961538461538461,0.40384615384615385,0.0,0.0,4.90149520110599
จีนขิมเล็ก เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,จีนขิมเล็ก,145,160,0.3384615384615385,0.0,0.6511627906976745,0.3488372093023256,0.0625,0.0,4.734069531114783
จีนขิมเล็ก เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,จีนขิมเล็ก,153,168,0.38461538461538464,0.0,0.775,0.225,0.0625,0.0,4.663298827786958
จีนขิมเล็ก เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,จีนขิมเล็ก,161,176,0.25,0.0,0.8541666666666666,0.14583333333333334,0.0,0.0,4.52054282015361
จีนขิมเล็ก เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,จีนขิมเล็ก,169,184,0.234375,0.0,0.7142857142857143,0.2857142857142857,0.0,0.0,4.9410225819896905
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,1,16,0.015625,0.0,0.8412698412698413,0.15873015873015872,0.0,0.0,4.3236162811604855
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,9,24,0.0,0.0,0.9375,0.0625,0.0,0.0,4.49079197918651
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,17,32,0.0,0.0,0.9375,0.0625,0.0,0.0,4.342204829996828
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,25,40,0.0,0.0,0.640625,0.359375,0.0,0.0,4.532935186044504
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,33,48,0.0,0.0,0.578125,0.421875,0.0,0.0,4.40636108364709
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,41,56,0.0,0.0,0.640625,0.359375,0.0,0.0,4.381986376452014
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,49,64,0.0,0.0,0.6875,0.3125,0.0,0.0,4.616190939978417
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,57,72,0.0,0.0,0.703125,0.296875,0.0,0.0,4.626588115090378
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,65,80,0.0,0.0,0.65625,0.34375,0.0,0.0,4.443893273751856
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,73,88,0.0,0.0,0.71875,0.28125,0.0,0.0,4.711429035216513
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,81,96,0.0,0.0,0.5,0.5,0.0,0.0,4.540052345023974
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,89,104,0.0,0.0,0.546875,0.453125,0.0,0.0,4.724996542712915
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,97,112,0.0,0.0,0.734375,0.265625,0.0,0.0,4.577584535128741
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,105,120,0.0,0.0,0.625,0.375,0.0,0.0,4.5662663839827555
