model,seed,held_out,accuracy,macro_f1,f1_khlui,f1_khong,f1_so,f1_ranat,n_train,n_test
1_majority,42,ตับต้นเพลงฉิ่ง,0.24431818181818182,0.09817351598173515,0.0,0.0,0.0,0.3926940639269406,643,176
1_majority,42,สาธุการ,0.25,0.1,0.0,0.0,0.0,0.4,603,216
1_majority,42,แขกมอญบางช้าง,0.25,0.1,0.0,0.0,0.0,0.4,703,116
1_majority,42,โหมโรงมหาฤกษ์,0.25,0.1,0.0,0.0,0.0,0.4,751,68
1_majority,123,กล่อมนารี,0.37857142857142856,0.13730569948186527,0.0,0.0,0.0,0.5492227979274611,679,140
1_majority,123,จีนขิมเล็ก,0.30097087378640774,0.11567164179104478,0.0,0.0,0.0,0.4626865671641791,716,103
1_majority,123,ตับต้นเพลงฉิ่ง,0.24431818181818182,0.09817351598173515,0.0,0.0,0.0,0.3926940639269406,643,176
1_majority,123,สาธุการ,0.25,0.1,0.0,0.0,0.0,0.4,603,216
1_majority,123,แขกมอญบางช้าง,0.25,0.1,0.0,0.0,0.0,0.4,703,116
1_majority,123,โหมโรงมหาฤกษ์,0.25,0.1,0.0,0.0,0.0,0.4,751,68
1_majority,2024,กล่อมนารี,0.37857142857142856,0.13730569948186527,0.0,0.0,0.0,0.5492227979274611,679,140
1_majority,2024,จีนขิมเล็ก,0.30097087378640774,0.11567164179104478,0.0,0.0,0.0,0.4626865671641791,716,103
1_majority,2024,ตับต้นเพลงฉิ่ง,0.24431818181818182,0.09817351598173515,0.0,0.0,0.0,0.3926940639269406,643,176
1_majority,2024,สาธุการ,0.25,0.1,0.0,0.0,0.0,0.4,603,216
1_majority,2024,แขกมอญบางช้าง,0.25,0.1,0.0,0.0,0.0,0.4,703,116
1_majority,2024,โหมโรงมหาฤกษ์,0.25,0.1,0.0,0.0,0.0,0.4,751,68
2_lr_handcrafted,42,กล่อมนารี,0.5642857142857143,0.5708333333333333,0.5,0.6666666666666666,0.5416666666666666,0.575,679,140
2_lr_handcrafted,42,จีนขิมเล็ก,0.6504854368932039,0.624894640403115,0.5,0.76,0.9152542372881356,0.32432432432432434,716,103
2_lr_handcrafted,42,ตับต้นเพลงฉิ่ง,0.5170454545454546,0.47785951196398957,0.029850746268656716,0.7466666666666667,0.6825396825396826,0.4523809523809524,643,176
2_lr_handcrafted,42,สาธุการ,0.6944444444444444,0.6363655106233038,0.15151515151515152,0.8372093023255814,0.8333333333333334,0.723404255319149,603,216
2_lr_handcrafted,42,แขกมอญบางช้าง,0.6637931034482759,0.6468251690920271,0.56,0.8571428571428571,0.6823529411764706,0.4878048780487805,703,116
2_lr_handcrafted,42,โหมโรงมหาฤกษ์,0.5735294117647058,0.5218876439464675,0.5714285714285714,0.5925925925925926,0.8235294117647058,0.1,751,68
2_lr_handcrafted,123,กล่อมนารี,0.5642857142857143,0.5708333333333333,0.5,0.6666666666666666,0.5416666666666666,0.575,679,140
2_lr_handcrafted,123,จีนขิมเล็ก,0.6504854368932039,0.624894640403115,0.5,0.76,0.9152542372881356,0.32432432432432434,716,103
2_lr_handcrafted,123,ตับต้นเพลงฉิ่ง,0.5170454545454546,0.47785951196398957,0.029850746268656716,0.7466666666666667,0.6825396825396826,0.4523809523809524,643,176
2_lr_handcrafted,123,สาธุการ,0.6944444444444444,0.6363655106233038,0.15151515151515152,0.8372093023255814,0.8333333333333334,0.723404255319149,603,216
2_lr_handcrafted,123,แขกมอญบางช้าง,0.6637931034482759,0.6468251690920271,0.56,0.8571428571428571,0.6823529411764706,0.4878048780487805,703,116
2_lr_handcrafted,123,โหมโรงมหาฤกษ์,0.5735294117647058,0.5218876439464675,0.5714285714285714,0.5925925925925926,0.8235294117647058,0.1,751,68
2_lr_handcrafted,2024,กล่อมนารี,0.5642857142857143,0.5708333333333333,0.5,0.6666666666666666,0.5416666666666666,0.575,679,140
2_lr_handcrafted,2024,จีนขิมเล็ก,0.6504854368932039,0.624894640403115,0.5,0.76,0.9152542372881356,0.32432432432432434,716,103
2_lr_handcrafted,2024,ตับต้นเพลงฉิ่ง,0.5170454545454546,0.47785951196398957,0.029850746268656716,0.7466666666666667,0.6825396825396826,0.4523809523809524,643,176
2_lr_handcrafted,2024,สาธุการ,0.6944444444444444,0.6363655106233038,0.15151515151515152,0.8372093023255814,0.8333333333333334,0.723404255319149,603,216
2_lr_handcrafted,2024,แขกมอญบางช้าง,0.6637931034482759,0.6468251690920271,0.56,0.8571428571428571,0.6823529411764706,0.4878048780487805,703,116
2_lr_handcrafted,2024,โหมโรงมหาฤกษ์,0.5735294117647058,0.5218876439464675,0.5714285714285714,0.5925925925925926,0.8235294117647058,0.1,751,68
3_rf_handcrafted,42,กล่อมนารี,0.5071428571428571,0.5103691260526201,0.4,0.6153846153846154,0.46511627906976744,0.5609756097560976,679,140
3_rf_handcrafted,42,จีนขิมเล็ก,0.5533980582524272,0.5599524222644523,0.3508771929824561,0.75,0.7307692307692307,0.40816326530612246,716,103
